"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"101785_1",,"金山橋",,"32.47002","130.39052","101785_1",,"0",,,,
"101785_2",,"金山橋",,"32.469902","130.39049","101785_2",,"0",,,,
"101785_3",,"金山橋",,"32.469715","130.39107","101785_3",,"0",,,,
"101786_1",,"片山（高森）",,"32.8455","131.2475","101786_1",,"0",,,,
"101787_1",,"釜（上天草）",,"32.495872","130.41222","101787_1",,"0",,,,
"101787_2",,"釜（上天草）",,"32.495888","130.41199","101787_2",,"0",,,,
"101788_1",,"釜（天草）",,"32.31526","130.0723","101788_1",,"0",,,,
"101789_1",,"釜入口",,"32.51491","130.06258","101789_1",,"0",,,,
"101789_2",,"釜入口",,"32.514618","130.06209","101789_2",,"0",,,,
"101790_1",,"釜尾",,"32.835983","130.69586","101790_1",,"0",,,,
"101790_2",,"釜尾",,"32.83595","130.69556","101790_2",,"0",,,,
"101791_1",,"鎌研",,"32.818703","130.65942","101791_1",,"0",,,,
"101793_1",,"釜の下",,"32.522877","130.07814","101793_1",,"0",,,,
"101793_2",,"釜の下",,"32.522755","130.0782","101793_2",,"0",,,,
"101794_1",,"上赤田",,"32.957848","130.48897","101794_1",,"0",,,,
"101794_2",,"上赤田",,"32.957703","130.48921","101794_2",,"0",,,,
"101795_1",,"上赤松",,"32.395412","130.5472","101795_1",,"0",,,,
"101795_2",,"上赤松",,"32.3955","130.54755","101795_2",,"0",,,,
"101797_1",,"上一丸",,"32.19492","130.79507","101797_1",,"0",,,,
"101797_2",,"上一丸",,"32.195038","130.7949","101797_2",,"0",,,,
"101799_1",,"上岩坂",,"32.857197","130.88675","101799_1",,"0",,,,
"101800_2",,"牛水上",,"32.949776","130.437","101800_2",,"0",,,,
"101801_1",,"上内田",,"32.634274","130.67511","101801_1",,"0",,,,
"101803_1",,"上大林",,"33.01425","130.79254","101803_1",,"0",,,,
"101805_1",,"上小田",,"32.95883","130.59543","101805_1",,"0",,,,
"101808_1",,"上門",,"32.24398","130.46918","101808_1",,"0",,,,
"101808_2",,"上門",,"32.243904","130.46935","101808_2",,"0",,,,
"101810_1",,"上辛川",,"32.850887","130.8266","101810_1",,"0",,,,
"101811_1",,"上河崎",,"32.935116","130.57587","101811_1",,"0",,,,
"101811_2",,"上河崎",,"32.935028","130.5759","101811_2",,"0",,,,
"101812_1",,"上川辺",,"32.269768","130.83676","101812_1",,"0",,,,
"101813_1",,"上瓦屋町",,"32.22461","130.75627","101813_1",,"0",,,,
"101814_1",,"上窪",,"32.17803","130.42236","101814_1",,"0",,,,
"101816_1",,"上高野辺田",,"32.784115","130.6744","101816_1",,"0",,,,
"101816_2",,"上高野辺田",,"32.78429","130.67563","101816_2",,"0",,,,
"101817_1",,"上島田町",,"32.52818","130.63672","101817_1",,"0",,,,
"101818_1",,"上坂下",,"33.013996","130.55124","101818_1",,"0",,,,
"101818_2",,"上坂下",,"33.013996","130.55133","101818_2",,"0",,,,
"101819_1",,"佐俣の湯前",,"32.622242","130.82588","101819_1",,"0",,,,
"101819_2",,"佐俣の湯前",,"32.622383","130.82597","101819_2",,"0",,,,
"101820_1",,"上色見熊野座神社入口",,"32.857613","131.16089","101820_1",,"0",,,,
"101821_1",,"中原（高森）",,"32.85489","131.15503","101821_1",,"0",,,,
"101822_1",,"上新町",,"32.21579","130.77054","101822_1",,"0",,,,
"101822_2",,"上新町",,"32.215893","130.77061","101822_2",,"0",,,,
"101823_1",,"上陣内",,"32.86404","130.8792","101823_1",,"0",,,,
"101824_1",,"上巣林",,"32.641624","130.76862","101824_1",,"0",,,,
"101825_1",,"上染田",,"32.282787","130.9849","101825_1",,"0",,,,
"101826_1",,"神園入口",,"32.84264","130.77977","101826_1",,"0",,,,
"101827_1",,"上小路",,"32.983776","130.4325","101827_1",,"0",,,,
"101827_2",,"上小路",,"32.984722","130.4324","101827_2",,"0",,,,
"101827_3",,"上小路",,"32.98416","130.43283","101827_3",,"0",,,,
"101828_1",,"上高野",,"32.73295","130.7955","101828_1",,"0",,,,
"101829_1",,"上高橋",,"32.78621","130.659","101829_1",,"0",,,,
"101829_2",,"上高橋",,"32.786346","130.65932","101829_2",,"0",,,,
"101830_1",,"上高橋（鹿本）",,"33.00509","130.74986","101830_1",,"0",,,,
"101831_1",,"上田代（相良）",,"32.306927","130.8477","101831_1",,"0",,,,
"101832_1",,"上田",,"33.110485","131.093","101832_1",,"0",,,,
"101833_1",,"上代",,"32.784245","130.6662","101833_1",,"0",,,,
"101833_2",,"上代",,"32.78401","130.66626","101833_2",,"0",,,,
"101835_1",,"上近見（国道）",,"32.77037","130.69322","101835_1",,"0",,,,
"101835_2",,"上近見（国道）",,"32.769375","130.69286","101835_2",,"0",,,,
"101837_1",,"上築地",,"32.2502","130.91711","101837_1",,"0",,,,
"101837_2",,"上築地",,"32.250126","130.91719","101837_2",,"0",,,,
"101840_1",,"上鶴羽",,"32.277187","130.96666","101840_1",,"0",,,,
"101841_1",,"上鶴（大津町）",,"32.87985","130.87424","101841_1",,"0",,,,
"101841_2",,"上鶴（大津町）",,"32.87975","130.874","101841_2",,"0",,,,
"101843_1",,"上砥川",,"32.763447","130.81552","101843_1",,"0",,,,
"101845_1",,"上在",,"32.81972","131.12984","101845_1",,"0",,,,
"101846_1",,"上南部",,"32.83546","130.77055","101846_1",,"0",,,,
"101847_1",,"上成川",,"32.962193","131.05885","101847_1",,"0",,,,
"101848_1",,"春日寺前",,"32.79252","130.6897","101848_1",,"0",,,,
"101848_2",,"春日寺前",,"32.792294","130.68953","101848_2",,"0",,,,
"101849_1",,"上猶須",,"32.82385","131.02908","101849_1",,"0",,,,
"101850_1",,"上西町",,"32.939857","131.10416","101850_1",,"0",,,,
"101851_1",,"上沼山津",,"32.780964","130.78192","101851_1",,"0",,,,
"101855_1",,"上日置",,"32.510983","130.62555","101855_1",,"0",,,,
"101855_2",,"上日置",,"32.510906","130.6255","101855_2",,"0",,,,
"101856_1",,"上町（高森）",,"32.827915","131.26477","101856_1",,"0",,,,
"101857_1",,"上平",,"32.286488","130.1322","101857_1",,"0",,,,
"101858_1",,"上広瀬",,"33.122787","131.0667","101858_1",,"0",,,,
"101858_2",,"上広瀬",,"33.122787","131.06679","101858_2",,"0",,,,
"101859_1",,"上布田",,"32.829758","130.90285","101859_1",,"0",,,,
"101860_1",,"上二子",,"32.234604","130.8884","101860_1",,"0",,,,
"101860_2",,"上二子",,"32.234646","130.8885","101860_2",,"0",,,,
"101861_1",,"上二子石",,"32.814335","131.07831","101861_1",,"0",,,,
