"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","jp_parent_route_id"
"13_13211_1_20240702","9330001006723","","E3-4：光の森産交→三里木～子飼→桜町バスターミナル",,"3",,,,"13"
"13_13230_1_20240702","9330001006723","","E3-3：熊本駅前→子飼～武蔵ヶ丘→光の森産交",,"3",,,,"13"
"13_13231_1_20240702","9330001006723","","E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前",,"3",,,,"13"
"13_13240_1_20240702","9330001006723","","E3-3：桜町バスターミナル→子飼～武蔵ヶ丘→光の森産交",,"3",,,,"13"
"13_13241_1_20240702","9330001006723","","E3-3：光の森産交→武蔵ヶ丘～子飼→桜町バスターミナル",,"3",,,,"13"
"13_13250_1_20240702","9330001006723","","E3-2：桜町バスターミナル→子飼～ゆめタウン→光の森産交",,"3",,,,"13"
"13_13251_1_20240702","9330001006723","","E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル",,"3",,,,"13"
"13_13260_1_20240702","9330001006723","","E3-2：熊本駅前→子飼～ゆめタウン→光の森産交",,"3",,,,"13"
"13_13261_1_20240702","9330001006723","","E3-2：光の森産交→ゆめタウン～子飼→熊本駅前",,"3",,,,"13"
"14_14260_1_20240702","9330001006723","","K5-2：桜町バスターミナル→県庁前～北バイパス入→光の森産交",,"3",,,,"14"
"14_14261_1_20240702","9330001006723","","K5-2：光の森産交→北バイパス～県庁前→桜町バスターミナル",,"3",,,,"14"
"14_14270_1_20240702","9330001006723","","K5-1：桜町バスターミナル→県庁前～松の本→光の森産交",,"3",,,,"14"
"14_14271_1_20240702","9330001006723","","K5-1：光の森産交→松の本～県庁前→桜町バスターミナル",,"3",,,,"14"
"15_15101_1_20240702","9330001006723","","吹田団地→大津中央～→大津高校前",,"3",,,,"15"
"16_16020_1_20240702","9330001006723","","F1-1：桜町バスターミナル→子飼～供合→東熊本第二病院前",,"3",,,,"16"
"16_16021_1_20240702","9330001006723","","F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル",,"3",,,,"16"
"16_16110_1_20240702","9330001006723","","F1-2：桜町バスターミナル→子飼～供合→光の森産交",,"3",,,,"16"
"16_16111_1_20240702","9330001006723","","F1-2：光の森産交→供合～子飼→桜町バスターミナル",,"3",,,,"16"
"17_17120_1_20240702","9330001006723","","A2-1：桜町バスターミナル→京町本丁～植木宮の前→木留",,"3",,,,"17"
"17_17121_1_20240702","9330001006723","","A2-1：木留→植木宮の前～京町本丁→桜町バスターミナル",,"3",,,,"17"
"17_17130_1_20240702","9330001006723","","A4-2：桜町バスターミナル→植木～北区役所前→小野泉水公園",,"3",,,,"17"
"17_17131_1_20240702","9330001006723","","A4-2：小野泉水公園→北区役所前～植木→桜町バスターミナル",,"3",,,,"17"
"17_17150_1_20240702","9330001006723","","A4-1：桜町バスターミナル→京町本丁～植木宮の前→植木駐車場",,"3",,,,"17"
"17_17151_1_20240702","9330001006723","","A4-1：植木駐車場→植木宮の前～京町本丁→桜町バスターミナル",,"3",,,,"17"
"17_17171_1_20240702","9330001006723","","A4-2/K6-0：小野泉水公園→北区役所前～県庁前→県会議事堂前",,"3",,,,"17"
"17_17181_1_20240702","9330001006723","","A2-1：木留→植木宮の前～京町本丁→田崎橋",,"3",,,,"17"
"17_17191_1_20240702","9330001006723","","A4-2：小野泉水公園→北区役所前～植木→田崎橋",,"3",,,,"17"
"17_17201_1_20240702","9330001006723","","A4-1：植木駐車場→植木～京町本丁→田崎橋",,"3",,,,"17"
"17_17210_1_20240702","9330001006723","","A3-1：桜町バスターミナル→植木→鹿南中学校",,"3",,,,"17"
"17_17211_1_20240702","9330001006723","","A3-1：鹿南中学校→植木→桜町バスターミナル",,"3",,,,"17"
"17_17220_1_20240702","9330001006723","","A4-2：北窪→県庁前～植木→小野泉水公園",,"3",,,,"17"
"17_17231_1_20240702","9330001006723","","A3-1：鹿南中学校→植木～京町本丁→田崎橋",,"3",,,,"17"
"17_17240_1_20240702","9330001006723","","A2-1：田崎橋→京町～植木宮の前→木留",,"3",,,,"17"
"17_17250_1_20240702","9330001006723","","A4-2：田崎橋→京町～植木→小野泉水公園",,"3",,,,"17"
"17_17260_1_20240702","9330001006723","","A4-1：田崎橋→京町～植木→植木駐車場",,"3",,,,"17"
"17_17270_1_20240702","9330001006723","","A3-1：田崎橋→京町～植木→鹿南中学校",,"3",,,,"17"
"18_18120_1_20240702","9330001006723","","U2-2：桜町バスターミナル→上熊本～西里→万楽寺（西里線）",,"3",,,,"18"
"18_18121_1_20240702","9330001006723","","U2-2：万楽寺（西里線）→西里～上熊本→桜町バスターミナル",,"3",,,,"18"
"18_18240_1_20240702","9330001006723","","U2-1：桜町バスターミナル→和泉～植木宮の前（→植木駐車場",,"3",,,,"18"
"18_18241_1_20240702","9330001006723","","U2-1：植木駐車場→植木宮の前（～和泉→桜町バスターミナル",,"3",,,,"18"
"19_19080_1_20240702","9330001006723","","U4-2：水道町→新町～戸坂→谷尾崎",,"3",,,,"19"
"19_19081_1_20240702","9330001006723","","U4-2：谷尾崎→戸坂～新町→水道町",,"3",,,,"19"
"19_19110_1_20240702","9330001006723","","U4-3：水道町→谷尾崎～西区役所前→小島産交",,"3",,,,"19"
"19_19111_1_20240702","9330001006723","","U4-3：小島産交→西区役所前～谷尾崎→水道町",,"3",,,,"19"
"20_20010_1_20240702","9330001006723","","S3-2：熊本港→西区役所～蓮台寺→桜町バスターミナル",,"3",,,,"20"
"20_20011_1_20240702","9330001006723","","S3-2：桜町バスターミナル→蓮台寺～西区役所→熊本港",,"3",,,,"20"
"20_20021_1_20240702","9330001006723","","T2-1：小島産交→西高→桜町バスターミナル",,"3",,,,"20"
"23_23200_1_20240702","9330001006723","","S4-9：水道町→白藤→JA飽田支所前",,"3",,,,"23"
"23_23201_1_20240702","9330001006723","","S4-9：JA飽田支所前→白藤→水道町",,"3",,,,"23"
"24_24010_1_20240702","9330001006723","","A1-1：若葉校→動植物園～県庁→富尾団地",,"3",,,,"24"
"24_24011_1_20240702","9330001006723","","A1-1/K1-1：富尾団地→県庁～動植物園前→若葉校",,"3",,,,"24"
"24_24021_1_20240702","9330001006723","","A1-1/K6-0：富尾団地→京町本丁～県庁前→県会議事堂",,"3",,,,"24"
"24_24030_1_20240702","9330001006723","","A1-1：北窪→県庁～京町本丁→富尾団地",,"3",,,,"24"
"25_25010_1_20240702","9330001006723","","A1-1：桜町バスターミナル→→富尾団地",,"3",,,,"25"
"25_25011_1_20240702","9330001006723","","A1-1：富尾団地→京町本丁→桜町バスターミナル",,"3",,,,"25"
"25_25020_1_20240702","9330001006723","","A1-1/T3-0：西部車庫→熊本駅～京町本丁→富尾団地",,"3",,,,"25"
"25_25021_1_20240702","9330001006723","","A1-1/T3-0：富尾団地→京町～熊本駅→西部車庫",,"3",,,,"25"
"26_26330_1_20240702","9330001006723","","K1-5/R2-1：桜町バスターミナル→済生会病院～川尻駅前→川尻町",,"3",,,,"26"
"26_26331_1_20240702","9330001006723","","K1-5：川尻町→川尻駅前～済生会病院→桜町バスターミナル",,"3",,,,"26"
"27_27050_1_20240702","9330001006723","","E2-1：桜町バスターミナル→子飼～二里木→楠団地",,"3",,,,"27"
"27_27051_1_20240702","9330001006723","","E2-1：楠団地→二里木～子飼→桜町バスターミナル",,"3",,,,"27"
"27_27071_1_20240702","9330001006723","","E2-0：竜田口駅前→熊本大学前～子飼→桜町バスターミナル",,"3",,,,"27"
"27_27080_1_20240702","9330001006723","","E2-1/S3-0：西部車庫→蓮台寺～二里木→楠団地",,"3",,,,"27"
"27_27081_1_20240702","9330001006723","","E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫",,"3",,,,"27"
"27_27090_1_20240702","9330001006723","","E2-0/S3-0：西部車庫→蓮台寺～子飼→竜田口駅",,"3",,,,"27"
"28_28051_1_20240702","9330001006723","","K6-0/R1-5：松橋→川尻市道～水前寺公園前→県会議事堂前",,"3",,,,"28"
"28_28061_1_20240702","9330001006723","","K6-0/R1-2：国町駐車場→川尻市道～水前寺公園前→県会議事堂前",,"3",,,,"28"
"28_28070_1_20240702","9330001006723","","R1-5：水道町→桜町バスターミナル～川尻市道→松橋",,"3",,,,"28"
"28_28071_1_20240702","9330001006723","","R1-5：松橋→川尻市道～桜町バスターミナル→水道町",,"3",,,,"28"
"28_28080_1_20240702","9330001006723","","R1-2：水道町→桜町バスターミナル～川尻市道→国町",,"3",,,,"28"
"28_28081_1_20240702","9330001006723","","R1-2：国町→川尻市道～桜町バスターミナル→水道町",,"3",,,,"28"
"28_28091_1_20240702","9330001006723","","K6-0/R1-1：リバグリーン八幡→川尻市道～県庁前→県会議事堂前",,"3",,,,"28"
"28_28100_1_20240702","9330001006723","","R1-1：水道町→桜町バスターミナル～川尻市道→川尻町",,"3",,,,"28"
"28_28101_1_20240702","9330001006723","","R1-1：川尻町→川尻市道～桜町バスターミナル→水道町",,"3",,,,"28"
"28_28110_1_20240702","9330001006723","","R1-1：桜町バスターミナル→川尻市道～川尻町→川尻町",,"3",,,,"28"
"28_28111_1_20240702","9330001006723","","R1-1：川尻町→川尻町～川尻市道→桜町バスターミナル",,"3",,,,"28"
"28_28160_1_20240702","9330001006723","","R1-2：桜町バスターミナル→熊日前（旧道～川尻町→国町",,"3",,,,"28"
