"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"3_3050_1_20260201","20260201","西部車庫",,"木山産交"
"14_14270_1_20260201","20260201","桜町バスターミナル",,"光の森産交"
"129_129761_1_20260201","20260201","多良木駅前",,"人吉産交"
"741_741030_1_20260201","20260201","熊本駅前",,"阿蘇山上ターミナル"
"28_28111_1_20260201","20260201","リバグリーン八幡",,"桜町バスターミナル"
"124_124711_1_20260201","20260201","上田代（相良）",,"人吉産交"
"130_130080_1_20260201","20260201","人吉ＩＣ乗降口",,"人吉駅前"
"57_57161_1_20260201","20260201","牛深産交",,"早浦橋"
"129_129750_1_20260201","20260201","人吉産交",,"市房登山口"
"56_56031_1_20260201","20260201","富岡港",,"本渡バスセンター"
"82_82391_1_20260201","20260201","阿蘇駅前",,"阿蘇医療センター"
"49_49941_1_20260201","20260201","大津産交",,"土林"
"3_3100_1_20260201","20260201","五丁",,"小楠記念館入口"
"721_721060_1_20260201","20260201","桜町バスターミナル",,"阿蘇くまもと空港"
"123_123271_1_20260201","20260201","多良木駅前",,"人吉産交"
"18_18241_1_20260201","20260201","植木駐車場",,"桜町バスターミナル"
"129_129730_1_20260201","20260201","人吉産交",,"多良木駅前"
"49_49361_1_20260201","20260201","吹田団地",,"大津町役場"
"17_17181_1_20260201","20260201","木留",,"田崎橋"
"49_49930_1_20260201","20260201","土林",,"大津産交"
"94_94140_1_20260201","20260201","玉名駅前",,"新玉名駅"
"138_138050_1_20260201","20260201","本渡バスセンター",,"新和支所"
"68_68120_1_20260201","20260201","道の駅たのうら",,"佐敷駅前"
"723_723101_1_20260201","20260201","高森駅交流施設",,"西部車庫"
"129_129741_1_20260201","20260201","市房登山口",,"人吉産交"
"71_71041_1_20260201","20260201","荒尾バスセンター",,"荒尾バスセンター"
"124_124700_1_20260201","20260201","人吉産交",,"上田代（相良）"
"3_3481_1_20260201","20260201","阿蘇くまもと空港",,"熊本駅前"
"100_100130_1_20260201","20260201","宇土本町二丁目",,"砥用中央"
"86_86720_1_20260201","20260201","高森駅前",,"上色見熊野座神社入口"
"155_155041_1_20260201","20260201","熊本駅前",,"市役所前（熊本）"
"102_102021_1_20260201","20260201","さんぱーる",,"さんぱーる"
"9_9301_1_20260201","20260201","小山団地",,"桜町バスターミナル"
"28_28160_1_20260201","20260201","桜町バスターミナル",,"国町駐車場"
"132_132111_1_20260201","20260201","栖本病院前",,"本渡バスセンター"
"741_741041_1_20260201","20260201","阿蘇山上ターミナル",,"火の山温泉どんどこ湯"
"69_69131_1_20260201","20260201","荒尾バスセンター",,"イオンタウン"
"722_722130_1_20260201","20260201","桜町バスターミナル",,"天草産交"
"13_13231_1_20260201","20260201","光の森産交",,"熊本駅前"
"124_124710_1_20260201","20260201","人吉産交",,"上田代（相良）"
"17_17250_1_20260201","20260201","田崎橋",,"小野泉水公園"
"72_72090_1_20260201","20260201","荒尾バスセンター",,"荒尾バスセンター"
"124_124731_1_20260201","20260201","頭地",,"人吉産交"
"3_3111_1_20260201","20260201","小楠記念館入口",,"五丁"
"106_106101_1_20260201","20260201","八農分校前",,"八代市役所前"
"7_7040_1_20260201","20260201","アクアドーム",,"小山団地"
"123_123230_1_20260201","20260201","人吉産交",,"涼水戸温泉前"
"59_59140_1_20260201","20260201","下田温泉",,"河浦車庫"
"33_33190_1_20260201","20260201","田崎橋",,"山鹿バスセンター"
"46_46081_1_20260201","20260201","南関上町",,"山鹿市役所前"
"18_18130_1_20260201","20260201","桜町バスターミナル",,"万楽寺駐車場"
"18_18131_1_20260201","20260201","万楽寺駐車場",,"桜町バスターミナル"
"3_3141_1_20260201","20260201","木山産交",,"小島産交"
"7_7011_1_20260201","20260201","戸島駐車場前",,"川口二丁"
"106_106100_1_20260201","20260201","八代市役所前",,"八農分校前"
"2_2041_1_20260201","20260201","木山産交",,"桜町バスターミナル"
"165_165010_1_20260201","20260201","玉名駅前",,"玉名駅前"
"60_60241_1_20260201","20260201","松島",,"本渡バスセンター"
"61_61221_1_20260201","20260201","松島",,"本渡バスセンター"
"117_117580_1_20260201","20260201","水俣駅前",,"葛彩館"
"42_42201_1_20260201","20260201","国町駐車場",,"桜町バスターミナル"
"17_17151_1_20260201","20260201","植木駐車場",,"桜町バスターミナル"
"154_154120_1_20260201","20260201","松橋駅",,"八代産交"
"3_3081_1_20260201","20260201","小楠記念館入口",,"川口二丁"
"25_25021_1_20260201","20260201","富尾団地",,"西部車庫"
"31_31121_1_20260201","20260201","山鹿バスセンター",,"桜町バスターミナル"
"721_721070_1_20260201","20260201","熊本駅前",,"阿蘇くまもと空港"
"17_17231_1_20260201","20260201","鹿南中学校前",,"田崎橋"
"68_68100_1_20260201","20260201","八代市役所前",,"道の駅たのうら"
"86_86670_1_20260201","20260201","フレイン高森店",,"高森中央"
"87_87580_1_20260201","20260201","阿蘇駅前",,"阿蘇山上ターミナル"
"120_120720_1_20260201","20260201","茂道漁港",,"頭石"
"41_41131_1_20260201","20260201","南区役所",,"桜町バスターミナル"
"3_3370_1_20260201","20260201","小島産交",,"小楠記念館入口"
"30_30110_1_20260201","20260201","桜町バスターミナル",,"山鹿バスセンター"
"720_720030_1_20260201","20260201","熊本駅前",,"別府駅前本町"
"722_722121_1_20260201","20260201","天草産交",,"桜町バスターミナル"
"124_124730_1_20260201","20260201","人吉産交",,"頭地"
"148_148690_1_20260201","20260201","曲手（菊陽巡回バス）",,"戸次上村（菊陽循環）"
"127_127241_1_20260201","20260201","湯の前駅前",,"人吉産交"
"9_9300_1_20260201","20260201","桜町バスターミナル",,"小山団地"
"82_82381_1_20260201","20260201","阿蘇駅前",,"阿蘇駅前"
"123_123211_1_20260201","20260201","石水寺入口",,"人吉産交"
"27_27050_1_20260201","20260201","桜町バスターミナル",,"楠団地（二里木経由）"
"6_6160_1_20260201","20260201","桜町バスターミナル",,"御船"
"58_58131_1_20260201","20260201","山の浦",,"本渡バスセンター"
"28_28061_1_20260201","20260201","国町駐車場",,"県会議事堂前"
"126_126350_1_20260201","20260201","人吉産交",,"小柿公民館前"
"57_57171_1_20260201","20260201","牛深市民病院",,"本渡バスセンター"
"3_3080_1_20260201","20260201","川口二丁",,"小楠記念館入口"
"3_3091_1_20260201","20260201","木山産交",,"五丁"
"28_28190_1_20260201","20260201","北窪",,"国町駐車場"
"9_9401_1_20260201","20260201","戸島駐車場前",,"桜町バスターミナル"
"131_131091_1_20260201","20260201","さんぱーる",,"三角産交"
"118_118051_1_20260201","20260201","八代産交",,"八代産交"
"99_99061_1_20260201","20260201","御船",,"木山産交"
"118_118040_1_20260201","20260201","八代産交",,"八代産交"
"125_125331_1_20260201","20260201","尾曲",,"人吉産交"
"117_117590_1_20260201","20260201","水俣駅前",,"大川公民館前"
"48_48150_1_20260201","20260201","山鹿バスセンター",,"肥後大津駅"
"129_129700_1_20260201","20260201","人吉産交",,"市房登山口"
"131_131101_1_20260201","20260201","さんぱーる",,"三角防災拠点センター"
"62_62261_1_20260201","20260201","下田温泉",,"本渡バスセンター"
"24_24021_1_20260201","20260201","富尾団地",,"県会議事堂前"
"86_86640_1_20260201","20260201","高森中央",,"高森中央"
"9_9310_1_20260201","20260201","西部車庫",,"小山団地"
"81_81121_1_20260201","20260201","杖立",,"ゆうステーション"
"86_86660_1_20260201","20260201","高森駅前",,"高森中央"
"3_3020_1_20260201","20260201","桜町バスターミナル",,"木山産交"
"48_48121_1_20260201","20260201","菊池プラザ",,"山鹿バスセンター"
"722_722110_1_20260201","20260201","桜町バスターミナル",,"天草産交"
"722_722111_1_20260201","20260201","天草産交",,"桜町バスターミナル"
"722_722120_1_20260201","20260201","桜町バスターミナル",,"天草産交"
"17_17130_1_20260201","20260201","桜町バスターミナル",,"小野泉水公園"
"721_721040_1_20260201","20260201","西部車庫",,"阿蘇くまもと空港"
"3_3040_1_20260201","20260201","小島産交",,"小楠記念館入口"
"42_42211_1_20260201","20260201","リバグリーン八幡",,"桜町バスターミナル"
"41_41130_1_20260201","20260201","桜町バスターミナル",,"南区役所"
"99_99060_1_20260201","20260201","木山産交",,"御船"
"102_102020_1_20260201","20260201","さんぱーる",,"さんぱーる"
"141_141120_1_20260201","20260201","本渡バスセンター",,"本渡バスセンター"
"28_28080_1_20260201","20260201","水道町",,"国町駐車場"
"52_52160_1_20260201","20260201","宇土駅前",,"松橋駅"
"131_131100_1_20260201","20260201","三角防災拠点センター",,"さんぱーる"
"27_27071_1_20260201","20260201","竜田口駅前",,"桜町バスターミナル"
"57_57170_1_20260201","20260201","本渡バスセンター",,"牛深市民病院"
"86_86620_1_20260201","20260201","フレイン高森店",,"高森中央"
"13_13211_1_20260201","20260201","光の森産交",,"桜町バスターミナル"
"17_17121_1_20260201","20260201","木留",,"桜町バスターミナル"
"2_2040_1_20260201","20260201","桜町バスターミナル",,"木山産交"
"70_70110_1_20260201","20260201","四ツ山",,"八幡台一丁目"
"720_720031_1_20260201","20260201","別府駅前本町",,"熊本駅前"
"3_3051_1_20260201","20260201","木山産交",,"西部車庫"
"28_28161_1_20260201","20260201","国町駐車場",,"桜町バスターミナル"
"71_71040_1_20260201","20260201","荒尾バスセンター",,"荒尾バスセンター"
"75_75060_1_20260201","20260201","ゆうステーション",,"ゆうステーション"
"130_130091_1_20260201","20260201","人吉駅前",,"人吉ＩＣ乗降口"
"141_141020_1_20260201","20260201","本渡バスセンター",,"天草空港"
"61_61240_1_20260201","20260201","新町団地",,"本渡バスセンター"
"86_86650_1_20260201","20260201","高森中央",,"高森中央"
"150_150411_1_20260201","20260201","ゆめタウン（八代）",,"ゆめタウン（八代）"
"26_26330_1_20260201","20260201","桜町バスターミナル",,"リバグリーン八幡"
"28_28081_1_20260201","20260201","国町駐車場",,"水道町"
"38_38241_1_20260201","20260201","玉名駅前",,"桜町バスターミナル"
"60_60231_1_20260201","20260201","松島",,"本渡バスセンター"
"49_49351_1_20260201","20260201","吹田団地",,"大津町役場"
"28_28101_1_20260201","20260201","リバグリーン八幡",,"水道町"
"44_44291_1_20260201","20260201","杖立",,"阿蘇駅前"
"61_61241_1_20260201","20260201","本渡バスセンター",,"新町団地"
"129_129711_1_20260201","20260201","市房登山口",,"人吉産交"
"154_154121_1_20260201","20260201","八代産交",,"松橋駅"
"3_3060_1_20260201","20260201","西部車庫",,"小楠記念館入口"
"36_36300_1_20260201","20260201","桜町バスターミナル",,"天水支所前"
"69_69121_1_20260201","20260201","荒尾バスセンター",,"玉名市役所前"
"704_704091_1_20260201","20260201","金池ターミナル",,"熊本駅前"
"12_12080_1_20260201","20260201","桜町バスターミナル",,"吹田団地"
"12_12241_1_20260201","20260201","光の森産交",,"桜町バスターミナル"
"81_81120_1_20260201","20260201","ゆうステーション",,"杖立"
"120_120741_1_20260201","20260201","招川内",,"茂道漁港"
"129_129770_1_20260201","20260201","人吉産交",,"多良木駅前"
"122_122410_1_20260201","20260201","水俣駅前",,"湯の児"
"53_53340_1_20260201","20260201","山鹿バスセンター",,"玉名駅前"
"106_106111_1_20260201","20260201","種山",,"八代市役所前"
"36_36311_1_20260201","20260201","小天温泉",,"桜町バスターミナル"
"123_123261_1_20260201","20260201","多良木駅前",,"人吉産交"
"131_131090_1_20260201","20260201","三角産交",,"さんぱーる"
"3_3071_1_20260201","20260201","木山産交",,"川口二丁"
"3_3161_1_20260201","20260201","木山産交",,"桜町バスターミナル"
"60_60240_1_20260201","20260201","本渡バスセンター",,"松島"
"86_86721_1_20260201","20260201","上色見熊野座神社入口",,"高森駅前"
"118_118041_1_20260201","20260201","八代産交",,"八代産交"
"133_133540_1_20260201","20260201","さんぱーる",,"赤崎（天草・池の浦）"
"141_141130_1_20260201","20260201","本渡バスセンター",,"本渡バスセンター"
"28_28100_1_20260201","20260201","水道町",,"リバグリーン八幡"
"107_107161_1_20260201","20260201","日奈久下西町",,"八代市役所前"
"87_87581_1_20260201","20260201","阿蘇山上ターミナル",,"阿蘇駅前"
"28_28091_1_20260201","20260201","リバグリーン八幡",,"県会議事堂前"
"25_25011_1_20260201","20260201","富尾団地",,"桜町バスターミナル"
"31_31120_1_20260201","20260201","桜町バスターミナル",,"山鹿バスセンター"
"68_68101_1_20260201","20260201","道の駅たのうら",,"八代市役所前"
"165_165011_1_20260201","20260201","玉名駅前",,"玉名駅前"
"96_96431_1_20260201","20260201","立野駅",,"高森中央"
"13_13251_1_20260201","20260201","光の森産交",,"桜町バスターミナル"
"126_126321_1_20260201","20260201","人吉産交",,"人吉産交"
"100_100131_1_20260201","20260201","砥用中央",,"宇土本町二丁目"
"731_731041_1_20260201","20260201","阿蘇くまもと空港",,"西部車庫"
"15_15101_1_20260201","20260201","吹田団地",,"大津高校前"
"107_107160_1_20260201","20260201","八代市役所前",,"日奈久下西町"
"120_120730_1_20260201","20260201","茂道漁港",,"招川内"
"44_44290_1_20260201","20260201","阿蘇駅前",,"杖立"
"125_125330_1_20260201","20260201","人吉産交",,"尾曲"
"720_720040_1_20260201","20260201","熊本駅前",,"由布院駅前バスセンター"
"43_43090_1_20260201","20260201","大津高校前",,"菊池産交"
"17_17150_1_20260201","20260201","桜町バスターミナル",,"植木駐車場"
"148_148691_1_20260201","20260201","戸次上村（菊陽循環）",,"曲手（菊陽巡回バス）"
"155_155031_1_20260201","20260201","渡鹿四丁目",,"田崎橋"
"62_62321_1_20260201","20260201","本渡バスセンター",,"高浜上河内"
"7_7030_1_20260201","20260201","五丁",,"小山団地"
"132_132110_1_20260201","20260201","本渡バスセンター",,"栖本病院前"
"68_68091_1_20260201","20260201","水俣産交",,"道の駅たのうら"
"100_100141_1_20260201","20260201","砥用中央",,"松橋駅"
"17_17270_1_20260201","20260201","田崎橋",,"鹿南中学校前"
"102_102061_1_20260201","20260201","さんぱーる",,"さんぱーる"
"61_61230_1_20260201","20260201","本渡バスセンター",,"新町団地"
