"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"2_2040_1_20260201","1285_128504_20260201","128504_13144_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15525_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15526_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15528_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15529_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15530_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15531_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15532_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15533_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128505_20260201","128505_15535_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128507_20260201","128507_4207_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128507_20260201","128507_4208_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128507_20260201","128507_4209_20260201","木山産交",,,,,,,"1285"
"2_2040_1_20260201","1285_128507_20260201","128507_4210_20260201","木山産交",,,,,,,"1285"
"2_2041_1_20260201","1271_127101_20260201","127101_5985_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127101_20260201","127101_5991_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127102_20260201","127102_8376_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127102_20260201","127102_8382_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127103_20260201","127103_10768_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127103_20260201","127103_10774_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127104_20260201","127104_13148_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127104_20260201","127104_13154_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127105_20260201","127105_15539_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127105_20260201","127105_15545_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1271_127107_20260201","127107_4215_20260201","桜町バスターミナル",,,,,,,"1271"
"2_2041_1_20260201","1285_128501_20260201","128501_5982_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5983_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5984_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5986_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5987_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5988_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5989_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128501_20260201","128501_5990_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8373_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8374_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8375_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8377_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8378_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8379_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8380_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128502_20260201","128502_8381_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10765_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10766_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10767_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10769_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10770_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10771_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10772_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128503_20260201","128503_10773_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13145_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13146_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13147_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13149_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13150_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13151_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13152_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128504_20260201","128504_13153_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15536_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15537_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15538_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15540_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15541_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15542_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15543_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128505_20260201","128505_15544_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4211_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4212_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4213_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4214_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4216_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4217_20260201","桜町バスターミナル",,,,,,,"1285"
"2_2041_1_20260201","1285_128507_20260201","128507_4218_20260201","桜町バスターミナル",,,,,,,"1285"
"3_3020_1_20260201","1271_127101_20260201","127101_6000_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1271_127102_20260201","127102_8391_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1271_127103_20260201","127103_10783_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1271_127104_20260201","127104_13163_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1271_127105_20260201","127105_15554_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1271_127107_20260201","127107_4231_20260201","木山産交",,,,,,,"1271"
"3_3020_1_20260201","1285_128501_20260201","128501_5992_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5993_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5994_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5995_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5996_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5997_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5998_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_5999_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6001_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6002_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6003_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6004_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6005_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128501_20260201","128501_6006_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8383_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8384_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8385_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8386_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8387_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8388_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8389_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8390_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8392_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8393_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8394_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8395_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8396_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128502_20260201","128502_8397_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10775_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10776_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10777_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10778_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10779_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10780_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10781_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10782_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10784_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10785_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10786_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10787_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10788_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128503_20260201","128503_10789_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13155_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13156_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13157_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13158_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13159_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13160_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13161_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13162_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13164_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13165_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13166_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13167_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13168_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128504_20260201","128504_13169_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15546_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15547_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15548_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15549_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15550_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15551_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15552_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15553_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15555_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15556_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15557_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15558_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15559_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128505_20260201","128505_15560_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4219_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4220_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4221_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4222_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4223_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4224_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4225_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4226_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4227_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4228_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4229_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4230_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4232_20260201","木山産交",,,,,,,"1285"
"3_3020_1_20260201","1285_128507_20260201","128507_4233_20260201","木山産交",,,,,,,"1285"
"3_3021_1_20260201","1271_127101_20260201","127101_6012_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127101_20260201","127101_6018_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127102_20260201","127102_8403_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127102_20260201","127102_8409_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127103_20260201","127103_10795_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127103_20260201","127103_10801_20260201","桜町バスターミナル",,,,,,,"1271"
"3_3021_1_20260201","1271_127104_20260201","127104_13175_20260201","桜町バスターミナル",,,,,,,"1271"
